Subcategory,Skin_Tone_RGB,Clothing_Recommendations
Sand Rose,"(240, 220, 210)","Bold outfits in colors like RGB (210, 229, 240). Harmonious styles with colors like RGB (240, 234, 210) and RGB (240, 210, 214). Neutrals or monochromatic variations of RGB (240, 220, 210) for daily wear."
Golden Shell,"(245, 225, 200)","Bold outfits in colors like RGB (200, 220, 245). Harmonious styles with colors like RGB (242, 245, 200) and RGB (245, 202, 200). Neutrals or monochromatic variations of RGB (245, 225, 200) for daily wear."
Peach Blossom,"(250, 210, 190)","Bold outfits in colors like RGB (190, 229, 250). Harmonious styles with colors like RGB (250, 239, 190) and RGB (250, 190, 199). Neutrals or monochromatic variations of RGB (250, 210, 190) for daily wear."
Vanilla Gold,"(230, 200, 170)","Bold outfits in colors like RGB (170, 200, 230). Harmonious styles with colors like RGB (230, 229, 170) and RGB (230, 170, 170). Neutrals or monochromatic variations of RGB (230, 200, 170) for daily wear."
Rosy Apricot,"(235, 190, 160)","Bold outfits in colors like RGB (160, 205, 235). Harmonious styles with colors like RGB (235, 227, 160) and RGB (235, 160, 167). Neutrals or monochromatic variations of RGB (235, 190, 160) for daily wear."
Desert Glow,"(220, 180, 150)","Bold outfits in colors like RGB (150, 190, 220). Harmonious styles with colors like RGB (220, 214, 150) and RGB (220, 150, 154). Neutrals or monochromatic variations of RGB (220, 180, 150) for daily wear."
Copper Glow,"(200, 140, 120)","Bold outfits in colors like RGB (120, 179, 200). Harmonious styles with colors like RGB (200, 179, 120) and RGB (200, 120, 139). Neutrals or monochromatic variations of RGB (200, 140, 120) for daily wear."
Mocha Beige,"(190, 130, 110)","Bold outfits in colors like RGB (110, 170, 190). Harmonious styles with colors like RGB (190, 169, 110) and RGB (190, 110, 129). Neutrals or monochromatic variations of RGB (190, 130, 110) for daily wear."
Burnished Bronze,"(180, 120, 100)","Bold outfits in colors like RGB (100, 160, 180). Harmonious styles with colors like RGB (180, 159, 100) and RGB (180, 100, 119). Neutrals or monochromatic variations of RGB (180, 120, 100) for daily wear."
Amber Bronze,"(170, 110, 90)","Bold outfits in colors like RGB (90, 149, 170). Harmonious styles with colors like RGB (170, 149, 90) and RGB (170, 90, 109). Neutrals or monochromatic variations of RGB (170, 110, 90) for daily wear."
Olive Mahogany,"(160, 100, 80)","Bold outfits in colors like RGB (80, 140, 160). Harmonious styles with colors like RGB (160, 139, 80) and RGB (160, 80, 99). Neutrals or monochromatic variations of RGB (160, 100, 80) for daily wear."
Chocolate Sand,"(150, 90, 70)","Bold outfits in colors like RGB (70, 130, 150). Harmonious styles with colors like RGB (150, 129, 70) and RGB (150, 70, 89). Neutrals or monochromatic variations of RGB (150, 90, 70) for daily wear."
Redwood Olive,"(140, 80, 60)","Bold outfits in colors like RGB (59, 120, 140). Harmonious styles with colors like RGB (140, 119, 59) and RGB (140, 59, 79). Neutrals or monochromatic variations of RGB (140, 80, 60) for daily wear."
Sepia Bronze,"(130, 90, 70)","Bold outfits in colors like RGB (70, 109, 130). Harmonious styles with colors like RGB (130, 119, 70) and RGB (130, 70, 79). Neutrals or monochromatic variations of RGB (130, 90, 70) for daily wear."
Dusky Gold,"(150, 110, 70)","Bold outfits in colors like RGB (70, 110, 150). Harmonious styles with colors like RGB (150, 149, 70) and RGB (150, 70, 70). Neutrals or monochromatic variations of RGB (150, 110, 70) for daily wear."
Warm Espresso,"(120, 70, 50)","Bold outfits in colors like RGB (49, 99, 120). Harmonious styles with colors like RGB (120, 104, 49) and RGB (120, 49, 64). Neutrals or monochromatic variations of RGB (120, 70, 50) for daily wear."
Deep Sienna,"(110, 60, 50)","Bold outfits in colors like RGB (49, 99, 110). Harmonious styles with colors like RGB (110, 89, 49) and RGB (110, 49, 69). Neutrals or monochromatic variations of RGB (110, 60, 50) for daily wear."
Coffee Glow,"(100, 70, 50)","Bold outfits in colors like RGB (50, 80, 100). Harmonious styles with colors like RGB (100, 94, 50) and RGB (100, 50, 54). Neutrals or monochromatic variations of RGB (100, 70, 50) for daily wear."
Ebony Maple,"(80, 40, 30)","Bold outfits in colors like RGB (30, 69, 80). Harmonious styles with colors like RGB (80, 64, 30) and RGB (80, 30, 44). Neutrals or monochromatic variations of RGB (80, 40, 30) for daily wear."
Charred Copper,"(90, 40, 30)","Bold outfits in colors like RGB (29, 79, 90). Harmonious styles with colors like RGB (90, 69, 29) and RGB (90, 29, 49). Neutrals or monochromatic variations of RGB (90, 40, 30) for daily wear."
Black Ash,"(70, 30, 20)","Bold outfits in colors like RGB (20, 59, 70). Harmonious styles with colors like RGB (70, 54, 20) and RGB (70, 20, 34). Neutrals or monochromatic variations of RGB (70, 30, 20) for daily wear."
Obsidian Onyx,"(60, 30, 20)","Bold outfits in colors like RGB (20, 50, 60). Harmonious styles with colors like RGB (60, 49, 20) and RGB (60, 20, 29). Neutrals or monochromatic variations of RGB (60, 30, 20) for daily wear."
Blue Sapphire,"(50, 20, 30)","Bold outfits in colors like RGB (20, 50, 40). Harmonious styles with colors like RGB (50, 24, 20) and RGB (50, 20, 44). Neutrals or monochromatic variations of RGB (50, 20, 30) for daily wear."
Warm Jet,"(60, 30, 20)","Bold outfits in colors like RGB (20, 50, 60). Harmonious styles with colors like RGB (60, 49, 20) and RGB (60, 20, 29). Neutrals or monochromatic variations of RGB (60, 30, 20) for daily wear."
Midnight Ruby,"(40, 20, 30)","Bold outfits in colors like RGB (20, 40, 29). Harmonious styles with colors like RGB (40, 20, 20) and RGB (40, 20, 39). Neutrals or monochromatic variations of RGB (40, 20, 30) for daily wear."
Cool Smoke,"(30, 20, 20)","Bold outfits in colors like RGB (20, 30, 30). Harmonious styles with colors like RGB (30, 24, 20) and RGB (30, 20, 24). Neutrals or monochromatic variations of RGB (30, 20, 20) for daily wear."
Blue Ebony,"(30, 10, 20)","Bold outfits in colors like RGB (10, 30, 19). Harmonious styles with colors like RGB (30, 10, 10) and RGB (30, 10, 29). Neutrals or monochromatic variations of RGB (30, 10, 20) for daily wear."
Golden Russet,"(210, 150, 100)","Bold outfits in colors like RGB (99, 159, 210). Harmonious styles with colors like RGB (210, 204, 99) and RGB (210, 99, 104). Neutrals or monochromatic variations of RGB (210, 150, 100) for daily wear."
Honey Olive,"(200, 130, 80)","Bold outfits in colors like RGB (80, 150, 200). Harmonious styles with colors like RGB (200, 189, 80) and RGB (200, 80, 89). Neutrals or monochromatic variations of RGB (200, 130, 80) for daily wear."
Cinnamon Gold,"(190, 120, 70)","Bold outfits in colors like RGB (70, 140, 190). Harmonious styles with colors like RGB (190, 179, 70) and RGB (190, 70, 79). Neutrals or monochromatic variations of RGB (190, 120, 70) for daily wear."
