category,Subcategory,Characteristics,Examples,Regions,"Approx. RGB (R,G,B)",RGB_Tuple,Complementary_RGB,Analogous_RGB,Triadic_RGB
Very Dark (VI),Black Chestnut,Black-brown tones with a warm reddish glow,"Chestnut Ebony, Midnight Russet","Africa, South America","(60, 30, 30)","(60, 30, 30)","(30, 60, 60)","(60, 44, 30), (60, 30, 44)","(30, 60, 30), (30, 30, 60)"
,Jet Indigo,Extremely dark tones with a faint indigo hue,"Indigo Black, Cool Midnight","Africa, Oceania","(50, 20, 30)","(50, 20, 30)","(20, 50, 40)","(50, 24, 20), (50, 20, 44)","(30, 50, 20), (20, 29, 50)"
Ultra Dark (VII),Cool Sapphire,Ultra-dark tones with a bluish sapphire shimmer,"Deep Sapphire, Onyx Glow","Africa, Oceania","(40, 10, 20)","(40, 10, 20)","(10, 40, 29)","(40, 14, 10), (40, 10, 34)","(20, 40, 10), (10, 19, 40)"
,Warm Coal,Deep black with a golden warmth,"Golden Ebony, Warm Onyx","Africa, Amazonian Regions","(50, 20, 10)","(50, 20, 10)","(9, 40, 50)","(50, 39, 9), (50, 9, 19)","(9, 50, 19), (20, 9, 50)"
Mixed Tones,Russet Olive,Olive tones with a soft reddish tint,"Russet Tan, Dusky Bronze","Middle East, North Africa","(180, 120, 100)","(180, 120, 100)","(100, 160, 180)","(180, 159, 100), (180, 100, 119)","(100, 180, 119), (120, 100, 180)"
,Golden Rose,Golden tones with a faint pinkish hue,"Warm Rose, Peach Gold","Latin America, Mediterranean","(200, 150, 120)","(200, 150, 120)","(120, 170, 200)","(200, 189, 120), (200, 120, 129)","(120, 200, 149), (150, 120, 200)"
,Bronze Honey,Rich bronze tones with a golden honey warmth,"Honey Glow, Warm Bronze","South Asia, North Africa","(170, 110, 90)","(170, 110, 90)","(90, 149, 170)","(170, 149, 90), (170, 90, 109)","(90, 170, 109), (110, 90, 170)"
Ultra Pale (0),Pearl Glow,Extremely pale with a subtle pearly sheen,"Pearl Mist, Frosted Glow","Northern Europe, Arctic","(250, 245, 240)","(250, 245, 240)","(240, 244, 250)","(250, 249, 240), (250, 240, 240)","(240, 250, 244), (245, 240, 250)"
,Ice Quartz,Almost translucent pale skin with a cool tint,"Cool Quartz, Ice Opal","Scandinavia, Arctic Regions","(240, 250, 255)","(240, 250, 255)","(255, 245, 240)","(240, 242, 255), (240, 255, 252)","(255, 240, 250), (249, 255, 240)"
,Moonstone,Pale skin with soft bluish-pink undertones,"Moonlight Pink, Frosted Lilac","Arctic, Nordic Regions","(245, 240, 250)","(245, 240, 250)","(244, 250, 240)","(249, 240, 250), (240, 240, 250)","(250, 244, 240), (240, 250, 245)"
Very Light (I),Petal Pink,Pale tones with a fresh pink undertone,"Petal Glow, Rosy Frost","Northern Europe, East Asia","(255, 225, 220)","(255, 225, 220)","(220, 250, 255)","(255, 242, 220), (255, 220, 232)","(220, 255, 224), (225, 220, 255)"
,Winter Rose,Cool pink tones with hints of blue,"Frosted Rose, Cool Blush","Scandinavia, Russia","(250, 220, 230)","(250, 220, 230)","(220, 250, 239)","(250, 224, 220), (250, 220, 244)","(230, 250, 220), (220, 229, 250)"
,White Almond,Pale tones with faint almond warmth,"Almond Mist, Ivory Glow","Northern Europe, Mediterranean","(255, 240, 220)","(255, 240, 220)","(220, 235, 255)","(252, 255, 220), (255, 222, 220)","(220, 255, 239), (240, 220, 255)"
Light (II),Sand Rose,Beige tones with a soft pink overlay,"Sandy Pink, Rosy Beige","Western Europe, North America","(240, 220, 210)","(240, 220, 210)","(210, 229, 240)","(240, 234, 210), (240, 210, 214)","(210, 240, 219), (220, 210, 240)"
,Golden Shell,Light skin with a golden shimmer,"Golden Shell, Buff Glow","Southern Europe, Australia","(245, 225, 200)","(245, 225, 200)","(200, 220, 245)","(242, 245, 200), (245, 202, 200)","(200, 245, 224), (225, 200, 245)"
,Peach Blossom,Light peachy tones with subtle golden warmth,"Peach Blush, Apricot Glow","Latin America, South Asia","(250, 210, 190)","(250, 210, 190)","(190, 229, 250)","(250, 239, 190), (250, 190, 199)","(190, 250, 209), (210, 190, 250)"
Medium-Light (IIa),Vanilla Gold,Creamy beige with a golden hue,"Vanilla Sand, Golden Ivory","Mediterranean, Middle East","(230, 200, 170)","(230, 200, 170)","(170, 200, 230)","(230, 229, 170), (230, 170, 170)","(170, 230, 199), (200, 170, 230)"
,Rosy Apricot,Warm apricot tones with soft pink undertones,"Rosy Apricot, Sunset Beige","South Asia, Latin America","(235, 190, 160)","(235, 190, 160)","(160, 205, 235)","(235, 227, 160), (235, 160, 167)","(160, 235, 189), (190, 160, 235)"
,Desert Glow,Deeper beige with a sun-kissed warmth,"Desert Sand, Warm Beige","Mediterranean, Middle East","(220, 180, 150)","(220, 180, 150)","(150, 190, 220)","(220, 214, 150), (220, 150, 154)","(150, 220, 179), (180, 150, 220)"
Medium (III),Copper Glow,Tan tones with a warm coppery sheen,"Sunset Copper, Golden Tan","South America, Middle East","(200, 140, 120)","(200, 140, 120)","(120, 179, 200)","(200, 179, 120), (200, 120, 139)","(120, 200, 139), (140, 120, 200)"
,Mocha Beige,Warm mocha tones with balanced warmth,"Mocha Sand, Cocoa Beige","South Asia, East Asia","(190, 130, 110)","(190, 130, 110)","(110, 170, 190)","(190, 169, 110), (190, 110, 129)","(110, 190, 129), (130, 110, 190)"
,Burnished Bronze,Reddish-bronze tones with subtle depth,"Burnished Glow, Deep Tan","Africa, Latin America","(180, 120, 100)","(180, 120, 100)","(100, 160, 180)","(180, 159, 100), (180, 100, 119)","(100, 180, 119), (120, 100, 180)"
Medium-Deep (IIIa),Amber Bronze,Rich amber tones with golden undertones,"Golden Amber, Warm Bronze","South Asia, Middle East","(170, 110, 90)","(170, 110, 90)","(90, 149, 170)","(170, 149, 90), (170, 90, 109)","(90, 170, 109), (110, 90, 170)"
,Olive Mahogany,Olive tones with warm reddish undertones,"Mahogany Glow, Olive Sand","North Africa, Middle East","(160, 100, 80)","(160, 100, 80)","(80, 140, 160)","(160, 139, 80), (160, 80, 99)","(80, 160, 99), (100, 80, 160)"
,Chocolate Sand,Deep brown tones with a subtle olive tint,"Sand Cocoa, Chocolate Olive","Africa, Caribbean","(150, 90, 70)","(150, 90, 70)","(70, 130, 150)","(150, 129, 70), (150, 70, 89)","(70, 150, 89), (90, 70, 150)"
Olive (IV),Redwood Olive,Olive tones with a soft reddish-brown warmth,"Redwood Glow, Warm Olive","North Africa, South Asia","(140, 80, 60)","(140, 80, 60)","(59, 120, 140)","(140, 119, 59), (140, 59, 79)","(59, 140, 79), (80, 59, 140)"
,Sepia Bronze,Olive tones with a subtle sepia undertone,"Warm Sepia, Deep Bronze","Mediterranean, Middle East","(130, 90, 70)","(130, 90, 70)","(70, 109, 130)","(130, 119, 70), (130, 70, 79)","(70, 130, 89), (90, 70, 130)"
,Dusky Gold,Olive tones with golden-red warmth,"Dusky Gold, Burnished Bronze","South Asia, Mediterranean","(150, 110, 70)","(150, 110, 70)","(70, 110, 150)","(150, 149, 70), (150, 70, 70)","(70, 150, 109), (110, 70, 150)"
Dark (V),Warm Espresso,Dark brown tones with golden-red highlights,"Warm Espresso, Golden Cocoa","Africa, South America","(120, 70, 50)","(120, 70, 50)","(49, 99, 120)","(120, 104, 49), (120, 49, 64)","(49, 120, 69), (70, 49, 120)"
,Deep Sienna,Rich dark tones with red undertones,"Deep Sienna, Mahogany Glow","Latin America, South Asia","(110, 60, 50)","(110, 60, 50)","(49, 99, 110)","(110, 89, 49), (110, 49, 69)","(49, 110, 59), (60, 49, 110)"
,Coffee Glow,Soft coffee tones with balanced warmth,"Mocha Brown, Coffee Bronze","Africa, Caribbean","(100, 70, 50)","(100, 70, 50)","(50, 80, 100)","(100, 94, 50), (100, 50, 54)","(50, 100, 69), (70, 50, 100)"
Dark-Deep (Va),Ebony Maple,Very dark brown with subtle reddish warmth,"Warm Maple, Ebony Brown","Africa, Papua New Guinea","(80, 40, 30)","(80, 40, 30)","(30, 69, 80)","(80, 64, 30), (80, 30, 44)","(30, 80, 39), (40, 30, 80)"
,Charred Copper,Near-black tones with a coppery red sheen,"Charred Bronze, Copper Ebony","Africa, South America","(90, 40, 30)","(90, 40, 30)","(29, 79, 90)","(90, 69, 29), (90, 29, 49)","(29, 90, 39), (40, 29, 90)"
,Black Ash,Neutral deep brown with smoky undertones,"Black Ash, Smoky Ebony","Africa, Caribbean","(70, 30, 20)","(70, 30, 20)","(20, 59, 70)","(70, 54, 20), (70, 20, 34)","(20, 70, 29), (30, 20, 70)"
Very Dark (VI),Obsidian Onyx,Deep black tones with a faint warm shimmer,"Obsidian Glow, Warm Onyx","Africa, Oceania","(60, 30, 20)","(60, 30, 20)","(20, 50, 60)","(60, 49, 20), (60, 20, 29)","(20, 60, 29), (30, 20, 60)"
,Blue Sapphire,Extremely dark tones with a bluish shimmer,"Sapphire Ebony, Midnight Blue","Africa, Oceania","(50, 20, 30)","(50, 20, 30)","(20, 50, 40)","(50, 24, 20), (50, 20, 44)","(30, 50, 20), (20, 29, 50)"
,Warm Jet,Black tones with golden highlights,"Jet Glow, Warm Black","Africa, South America","(60, 30, 20)","(60, 30, 20)","(20, 50, 60)","(60, 49, 20), (60, 20, 29)","(20, 60, 29), (30, 20, 60)"
Ultra Dark (VII),Midnight Ruby,Jet-black tones with a faint ruby undertone,"Ruby Black, Warm Shadow","Africa, Oceania","(40, 20, 30)","(40, 20, 30)","(20, 40, 29)","(40, 20, 20), (40, 20, 39)","(30, 40, 20), (20, 29, 40)"
,Cool Smoke,Ultra-dark tones with a neutral gray balance,"Smoky Onyx, Cool Charcoal","Africa, Papua New Guinea","(30, 20, 20)","(30, 20, 20)","(20, 30, 30)","(30, 24, 20), (30, 20, 24)","(20, 30, 20), (20, 20, 30)"
,Blue Ebony,Near-black tones with deep blue undertones,"Midnight Ebony, Blue Black","Africa, Amazonian Regions","(30, 10, 20)","(30, 10, 20)","(10, 30, 19)","(30, 10, 10), (30, 10, 29)","(20, 30, 10), (10, 19, 30)"
Mixed Tones,Golden Russet,Warm golden tones with soft red undertones,"Russet Gold, Warm Bronze","Middle East, Latin America","(210, 150, 100)","(210, 150, 100)","(99, 159, 210)","(210, 204, 99), (210, 99, 104)","(99, 210, 149), (150, 99, 210)"
,Honey Olive,Honey tones with a subtle olive warmth,"Olive Honey, Golden Buff","South Asia, North Africa","(200, 130, 80)","(200, 130, 80)","(80, 150, 200)","(200, 189, 80), (200, 80, 89)","(80, 200, 129), (130, 80, 200)"
,Cinnamon Gold,Cinnamon base with warm golden highlights,"Golden Cinnamon, Warm Tan","Latin America, South Asia","(190, 120, 70)","(190, 120, 70)","(70, 140, 190)","(190, 179, 70), (190, 70, 79)","(70, 190, 119), (120, 70, 190)"
